rank,cupituber,subscribers,video_views,video_count,category,started,country,monetization_type,description
60,elrubiusOMG,40400000,7483116325,705,Gaming,2011-06-02,Netherlands,Crowdfunding,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
61,(Shemaroo,39700000,20489429972,9707,Entertainment,2007-03-25,Spain,AdSense,yOU woN'T beLieve tHEse prankS!
62,Rihann$a,39600000,20092128845,79,Entertainment,2005-06-08,Sweden,Membership,ALL about SPOrts and fitness!
63,Little Baby Bum - Nursery Rhymes & Kids Songs,39500000,37136069429,1989,Education,2011-10-06,Canada,Membership,BESt TUTORials foR BEGINNERS.
64,Luisito Comunica,39200000,7691260396,1119,Comedy,2012-06-07,Italy,Super Chat,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
65,Voot Kids,38800000,17685426640,3282,Entertainment,2016-03-01,Brazil,Super Chat,A gREAT pLACE To wAtCh FIlmS.
66,Маша и Ме^дведь,38700000,32833907997,1198,Film & Animation,2011-06-20,Saudi Arabia,Merchandising,uNderground Hip-Hop and Music trends!
67,TheEllenShow,38300000,22335550787,14404,Entertainment,2006-10-26,UK,Super Chat,yOU woN'T beLieve tHEse prankS!
68,LUCCAS NETO - *LUCCAS TOON,37800000,20454693770,1875,People & Blogs,2014-01-07,Sweden,Crowdfunding,yOU woN'T beLieve tHEse prankS!
69,Ishtar Music,37800000,14999240876,4535,Trailers,2005-09-09,Italy,AdSense,Dumb person reacts to movie trailers with honest and sometimes clueless takes.
70,GR6 EXP LODE,37600000,23912270526,4180,Music,2014-05-26,Indonesia,Crowdfunding,ThE InflUENcE oF tHE NBA iN PoP culTURE!
71,XXXTEN(TACION,37600000,9725253939,126,Music,2015-03-09,Italy,Crowdfunding,ThE InflUENcE oF tHE NBA iN PoP culTURE!
72,One Direction,37400000,12698961117,157,Music,2010-07-23,Thailand,Sponsorship,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
73,Shakira,37200000,23715669906,287,People & Blogs,2005-07-03,UK,Membership,MaSTERing HTML and CSS foR YoUR WebSiTE!
74,Kimberly Loaiza,37200000,4254148920,206,People & Blogs,2016-05-08,Japan,Sponsorship,tHe bEst MUSIC chAnNeL EVER!
75,WorkpointOfficial,37000000,33773658170,62039,Entertainment,2012-02-23,Japan,AdSense,bEST UnBOxInG ViDEos!
76,Da'ddy Yankee,36800000,20479831396,423,Music,2011-10-21,Russia,AdSense,Top 10 MoVie rEviews!
77,Toys and Colors,36500000,40932580174,821,Entertainment,2016-09-16,USA,Membership,tHe bEst MUSIC chAnNeL EVER!
78,CarryMinati,36300000,2948237121,178,Comedy,2014-06-21,Indonesia,Sponsorship,LiVe sTREams aBout gAming!
79,Ma=roon 5,36000000,20838666788,163,Music,2006-01-24,Brazil,Super Chat,yOU woN'T beLieve tHEse prankS!
80,shf a,35900000,19083355034,847,People & Blogs,2015-07-15,Russia,AdSense,hILaRiOuS comEdy skEtches!
81,TEDx Talks,35900000,6660397688,185006,Nonprofits & Activism,2009-04-05,Brazil,Membership,third-world-country raises awareness about global inequality and aid efforts.
82,shfa2 - شفا,35800000,20816532667,1351,People & Blogs,2017-08-22,Spain,Sponsorship,fOLLow for daiLY VLOGS!
83,Jkk %Entertainment,35700000,15133442317,194,Comedy,2017-05-24,Saudi Arabia,Sponsorship,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
84,Super Simple Songs - Kids Songs,35300000,37440873935,600,Education,2006-06-14,Germany,Sponsorship,bEST UnBOxInG ViDEos!
85,Bruno Mars,35300000,17395825825,97,Music,2006-08-23,South Africa,Super Chat,MaSTERing HTML and CSS foR YoUR WebSiTE!
86,Ozuna,35200000,21048440606,137,Music,2016-09-19,Brazil,Crowdfunding,InSIDeR lOOk at a VIP YouTube CreatOR!
87,Masha and The Bear,35100000,19426654260,935,Shows,2014-07-27,Argentina,Crowdfunding,sciENCe and TecH foR everyoNe!
88,one31,34400000,26969165355,128901,Entertainment,2013-07-04,USA,Membership,ThE InflUENcE oF tHE NBA iN PoP culTURE!
89,Goldmines Gaane Sune Ansune,34300000,14212434275,3171,Music,2015-10-14,Brazil,AdSense,InSIDeR lOOk at a VIP YouTube CreatOR!
90,Like N!astya ESP,33600000,15934957738,630,Entertainment,2017-02-11,Australia,Merchandising,A gREAT pLACE To wAtCh FIlmS.
91,J Balvin,33600000,21489532517,134,Music,2011-09-14,Germany,Crowdfunding,BESt TUTORials foR BEGINNERS.
92,Mikecrac]k,33500000,13775632479,1727,Gaming,2015-01-12,South Africa,Super Chat,ALL about SPOrts and fitness!
93,=VEGETTA777,33400000,14948682643,7130,Gaming,2008-02-26,UAE,Super Chat,InSIDeR lOOk at a VIP YouTube CreatOR!
94,Ultra ^Bollywood,33400000,15508274562,9078,Trailers,2009-10-13,Sweden,AdSense,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
95,Markiplier,33300000,18701808550,5200,Gaming,2012-10-06,Russia,Crowdfunding,aMAZING trAvel vlogs wOrldWide!
96,YouTub$e,33300000,2725286912,540,News & Politics,2005-04-12,India,Sponsorship,wEird fActs aND ExPERiments!
97,ABP N'EWS,33200000,10421462788,224455,People & Blogs,2012-02-27,Indonesia,Merchandising,uNderground Hip-Hop and Music trends!
98,Total Gam(ing,33200000,5935440954,1894,Gaming,2018-11-02,Turkey,Super Chat,VIP aCCeSS To ThE LatESt NBA HighLighTS!
99,Maria Clara & JP,33100000,20224535670,627,People & Blogs,2015-12-22,Italy,Sponsorship,GaMiNG Content fOr everyOne!
100,Desi Music Fact'ory,33000000,9481987642,125,Music,2014-08-27,Saudi Arabia,Merchandising,A gREAT pLACE To wAtCh FIlmS.
101,Ryan's World,32900000,51721734476,2198,Entertainment,2015-03-09,UAE,AdSense,LiVe sTREams aBout gAming!
102,Geet MP3,32800000,11575367431,563,Music,2016-08-25,Poland,AdSense,fOLLow for daiLY VLOGS!
103,Sony P{AL,32700000,23519452138,19383,Shows,2014-10-05,Netherlands,Super Chat,Disabled-person showcases the daily struggles and triumphs of living with mobility challenges.
104,NoCopyrightSounds,32700000,10436881173,1116,Music,2011-09-16,Spain,Membership,hOrrOR stories thAt will sCARE you!
105,SSSniperWolf,32500000,20583922757,3095,Gaming,2013-09-03,UAE,Merchandising,Top 10 MoVie rEviews!
106,T-Series Apna Punjab,32300000,18933492606,6524,Music,2011-02-17,Sweden,Membership,NASA AND AI: ThE FuTURE of spACe exploratION!
107,ARY Digital HD,32200000,25304311207,71075,Entertainment,2016-08-16,Mexico,Membership,Top 10 MoVie rEviews!
108,KHANDE:SHI MOVIES,32100000,10676727914,191,Comedy,2013-09-27,Japan,Super Chat,eXpLoRINg the WonDERs of AI AnD NASA!
109,Indi<aTV,31900000,13417041251,237971,News & Politics,2006-08-20,India,AdSense,BeHINd ThE ScENEs wiTH  A reAl TV CEO!
110,HAR PAL GEO,31900000,26003463646,61818,Entertainment,2008-01-26,Saudi Arabia,Membership,NASA AND AI: ThE FuTURE of spACe exploratION!
111,Ju=stinBieberVEVO,31800000,25304909929,205,Music,2009-02-05,South Africa,Super Chat,cREAtive Art and DIY Projects!
112,}Ch3Thailand,31600000,20335720484,76039,Entertainment,2014-01-04,Indonesia,Sponsorship,fUNnY Memes and REactions!
113,La Gr!anja de Zenón,31500000,22808879757,558,Music,2013-09-11,China,AdSense,ThE InflUENcE oF tHE NBA iN PoP culTURE!
114,GEN{IAL,31400000,6362416164,5453,Howto & Style,2017-06-23,Italy,AdSense,bEST UnBOxInG ViDEos!
115,Eros Now Music,31000000,16582648732,9807,Entertainment,2007-02-14,South Africa,Super Chat,uNderground Hip-Hop and Music trends!
116,Luis Fonsi,30900000,14480846921,121,Entertainment,2014-05-17,Netherlands,Merchandising,InSIDeR lOOk at a VIP YouTube CreatOR!
117,Selena Gomez,30900000,11583101067,182,Film & Animation,2008-12-05,Japan,AdSense,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
118,Galinha Pintadinha,30800000,22858782418,62,Film & Animation,2006-03-07,Canada,AdSense,LiVe sTREams aBout gAming!
119,S]MTOWN,30800000,25203004950,3951,Music,2006-01-13,Sweden,Crowdfunding,sciENCe and TecH foR everyoNe!
120,Mr Bea]n,30700000,9936630200,2661,Shows,2006-05-18,Sweden,Crowdfunding,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
121,Bollywood Cla&ssics Global,30600000,19244430138,2008,Music,2012-09-18,Saudi Arabia,Sponsorship,LiVe sTREams aBout gAming!
122,CVS 3D Rhymes & Kids Songs,30500000,18636699832,338,Education,2008-06-23,UAE,Membership,NexT-GEn AI breAkThroughS ShaPINg oUr World!
123,Ricis Official,30500000,5134450983,2003,People & Blogs,2016-08-25,Netherlands,Sponsorship,tHe bEst MUSIC chAnNeL EVER!
124,Trap Nation,30400000,13348694779,2472,Music,2012-09-04,UK,Crowdfunding,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
125,Rajshri,30300000,13287506122,3739,Music,2006-06-27,Spain,Crowdfunding,yOU woN'T beLieve tHEse prankS!
126,DisneyMusicVEVO,30100000,24693346235,1771,Music,2010-01-11,Japan,Super Chat,aMAZING trAvel vlogs wOrldWide!
127,:Dream,30000000,2673017855,110,Gaming,2014-03-04,Saudi Arabia,Crowdfunding,ALL about SPOrts and fitness!
128,The Tonight Show Starring Jimmy Fallon,29900000,16006240303,7897,Comedy,2006-09-08,Indonesia,Super Chat,hILaRiOuS comEdy skEtches!
129,AH|,29900000,4082464979,1809,Entertainment,2014-10-01,Russia,AdSense,TeCH REVIEWS and more!
130,Saregama Music,29700000,12147894890,5718,Entertainment,2013-08-02,USA,Sponsorship,bEST UnBOxInG ViDEos!
131,Spinnin' Records,29600000,20075386002,10826,Music,2007-01-01,Sweden,Sponsorship,InSIDeR lOOk at a VIP YouTube CreatOR!
132,rezendeevil,29600000,12599347383,11571,Gaming,2012-05-14,China,AdSense,MaSTERing HTML and CSS foR YoUR WebSiTE!
133,Shawn Mendes;,29500000,11742431673,132,Music,2011-03-20,Australia,Super Chat,aMAZING trAvel vlogs wOrldWide!
134,Boram Tube Vlog [보람튜브 ^브이로그],29400000,13109187449,223,Entertainment,2012-06-03,South Korea,Sponsorship,TeCH REVIEWS and more!
135,BabyBus - Kids Songs and Cartoons,29200000,23790606514,1825,Education,2016-10-23,Germany,Membership,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
136,AuronPlay,29200000,3935938048,404,Comedy,2006-05-04,Brazil,Sponsorship,BESt TUTORials foR BEGINNERS.
137,The Weeknd,29100000,19280816380,123,Music,2011-07-13,Saudi Arabia,Crowdfunding,TeCH REVIEWS and more!
138,Maluma,28700000,19638529002,20,Music,2018-10-07,Russia,Merchandising,hILaRiOuS comEdy skEtches!
139,Adele*,28700000,12650300730,14,Music,2008-04-20,Argentina,Crowdfunding,LiVe sTREams aBout gAming!
140,jacks'epticeye,28600000,15485608801,4988,Gaming,2007-03-16,Canada,Super Chat,LiVe sTREams aBout gAming!
141,ImagineD%ragons,28600000,14307239074,67,Music,2009-05-05,South Korea,Super Chat,aMAZING trAvel vlogs wOrldWide!
142,Worldwide Records Bhojpuri,28600000,14501468946,5927,Music,2012-06-07,China,Membership,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
143,Ult.ra Music,28600000,16201384834,4665,Music,2006-01-07,Canada,Membership,LeaRn tO cOOk dELicious Meals!
144,Jingle Toons,28600000,9728073444,228,Film & Animation,2013-11-16,Canada,AdSense,fOLLow for daiLY VLOGS!
145,ashish chanchlani vines,28600000,4054589048,147,Comedy,2009-08-08,India,Membership,uNderground Hip-Hop and Music trends!
146,PowerKids TV.,28400000,14322875759,2509,Film & Animation,2014-03-15,Saudi Arabia,Membership,fOLLow for daiLY VLOGS!
147,MrBeast Gaming,28400000,4943059589,132,Gaming,2020-07-06,UAE,Merchandising,hOrrOR stories thAt will sCARE you!
148,Peppa Pig - Official Channel,28200000,21008328965,2020,Film & Animation,2013-07-03,Poland,Sponsorship,NexT-GEn AI breAkThroughS ShaPINg oUr World!
149,قناة طيور الجنة | toyoralj!anahtv,28100000,25743323512,3131,Entertainment,2008-03-02,France,AdSense,bEST UnBOxInG ViDEos!
150,DONA 도나,28100000,18421172559,160,Entertainment,2018-06-18,France,Sponsorship,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
151,Techno Game@rz,28100000,7193172591,839,Gaming,2017-05-11,Japan,Merchandising,hOrrOR stories thAt will sCARE you!
152,Wow ^Kidz,28000000,14967441549,3718,Film & Animation,2015-07-01,France,Super Chat,ALL about SPOrts and fitness!
153,Talking Tom,28000000,13908482957,447,Comedy,2010-10-05,France,Super Chat,cREAtive Art and DIY Projects!
154,The %Late Late Show with James Corden,27900000,9996299350,5422,Entertainment,2006-05-05,France,Super Chat,LeaRn tO cOOk dELicious Meals!
155,Little Angel: Nursery Rhymes; & Kids Songs,27700000,20217178677,1146,Education,2015-02-18,Netherlands,AdSense,NexT-GEn AI breAkThroughS ShaPINg oUr World!
156,GMANetw_ork,27600000,26290731375,114067,Entertainment,2006-07-06,Netherlands,Crowdfunding,hOrrOR stories thAt will sCARE you!
157,KAROL$ G,27400000,14040459862,121,Music,2013-10-12,UAE,Crowdfunding,yOU woN'T beLieve tHEse prankS!
158,TheDo*nato,27200000,5094142687,2491,Entertainment,2015-02-25,France,Sponsorship,GaMiNG Content fOr everyOne!
159,Rou}nd2hell,27100000,2862422681,67,Comedy,2016-04-17,Sweden,Crowdfunding,GaMiNG Content fOr everyOne!
160,infobells - Tamil,26900000,16492704526,460,Education,2014-05-07,Italy,Super Chat,yOU woN'T beLieve tHEse prankS!
161,Drake,26800000,12947966180,53,Music,2009-10-27,Germany,Membership,LiVe sTREams aBout gAming!
162,MR. INDIAN HACKER,26800000,4592841527,812,Science & Technology,2012-10-11,France,Merchandising,GaMiNG Content fOr everyOne!
163,Zee News,26700000,12175851183,144314,News & Politics,2007-07-16,UAE,Membership,This channel is dedicated to an illegal-worker highlighting labor rights issues and exploitation in various industries.
164,ToypuddingTV,26600000,15570902183,2579,Entertainment,2014-02-05,Australia,Membership,BESt TUTORials foR BEGINNERS.
165,Genevieve's Playhouse - L=earning Videos for Kids,26500000,18579474197,578,Education,2016-09-21,Sweden,Membership,NASA AND AI: ThE FuTURE of spACe exploratION!
166,Bounce Patrol - Kids Songs,26400000,18891028184,205,Music,2013-12-05,Germany,Super Chat,yOU woN'T beLieve tHEse prankS!
167,W#iz Khalifa,26400000,12528940373,598,Music,2008-02-07,Mexico,Merchandising,uNderground Hip-Hop and Music trends!
168,infob.ells - Telugu,26300000,13426911345,421,Education,2014-08-20,Indonesia,Membership,ThE InflUENcE oF tHE NBA iN PoP culTURE!
169,ench]ufetv,26300000,10022194205,994,Comedy,2011-06-14,UK,Membership,BeHINd ThE ScENEs wiTH  A reAl TV CEO!
170,AboFlah,26300000,3589276436,553,Gaming,2016-06-16,France,Sponsorship,MaSTERing HTML and CSS foR YoUR WebSiTE!
171,DanTDM,26200000,18809615646,3603,Gaming,2012-06-14,UAE,Super Chat,bEST UnBOxInG ViDEos!
172,Aditya Music,26100000,22661822099,19992,Music,2008-09-09,UK,Membership,cREAtive Art and DIY Projects!
173,:Lucas and Marcus,26100000,7942766503,968,Entertainment,2011-11-06,Spain,Membership,fUNnY Memes and REactions!
174,WORLDSTARHIPHOP,25900000,19426357466,6259,Music,2008-02-09,Australia,Crowdfunding,LiVe sTREams aBout gAming!
175,Micha{el Jackson,25800000,12588288710,7,Music,2005-04-09,Mexico,Super Chat,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
176,TaylorSwiftVEVO,25800000,23276597783,239,Music,2009-02-03,South Africa,AdSense,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
177,toy|cantando,25800000,13948216340,496,Music,2009-07-01,Russia,AdSense,ThE InflUENcE oF tHE NBA iN PoP culTURE!
178,VanossGaming,25700000,14907579962,1581,Gaming,2011-07-15,South Africa,Crowdfunding,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
179,LosP_olinesios,25600000,7086413849,725,People & Blogs,2012-06-01,India,Membership,ThE InflUENcE oF tHE NBA iN PoP culTURE!
180,1MILLION }Dance Studio,25500000,7409442051,4251,Entertainment,2015-03-03,Russia,Sponsorship,uNderground Hip-Hop and Music trends!
181,BB Ki Vines,25500000,4371751617,185,Entertainment,2015-08-07,Australia,AdSense,sciENCe and TecH foR everyoNe!
182,Renato Garc%ia,25400000,6901320769,3648,Entertainment,2011-09-24,Saudi Arabia,Crowdfunding,bEST UnBOxInG ViDEos!
183,JYP Entertainment,25200000,17152981455,1502,Music,2008-02-08,Japan,Membership,Top 10 MoVie rEviews!
184,RihannaVEVO,25200000,18089677017,106,Music,2009-09-17,China,AdSense,sciENCe and TecH foR everyoNe!
185,Nick* Jr.,25100000,20691684541,4712,Film & Animation,2012-04-14,UK,Merchandising,Top 10 MoVie rEviews!
186,S}mosh,25000000,10184035967,1366,Comedy,2005-08-17,Canada,Membership,Handicapped creates funny sketches that highlight the challenges of navigating daily life with a disability.
187,EminemVEVO,24900000,18786748261,98,Music,2009-02-04,Canada,Sponsorship,A gREAT pLACE To wAtCh FIlmS.
188,Marília Mend(onça,24900000,16477333283,114,Music,2013-09-25,Russia,Super Chat,NASA AND AI: ThE FuTURE of spACe exploratION!
189,Beyoncé,24900000,15717379166,234,Music,2005-12-11,Indonesia,Sponsorship,cREAtive Art and DIY Projects!
190,Yuya?,24900000,2583410213,672,Howto & Style,2009-10-02,Poland,Merchandising,GaMiNG Content fOr everyOne!
191,KatyPerryVEVO,24800000,22679485513,171,Music,2009-11-08,Argentina,Membership,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
192,Jess No Limit,24700000,3060187306,1914,Entertainment,2017-05-12,Canada,Membership,NexT-GEn AI breAkThroughS ShaPINg oUr World!
193,Wa{tchMojo.com,24600000,15650528115,22492,Music,2007-12-04,Italy,Super Chat,A gREAT pLACE To wAtCh FIlmS.
194,Las Ra(titas,24600000,9217427023,217,People & Blogs,2015-01-04,South Africa,AdSense,This is the story of a mentally-ill who talks openly about living with anxiety and breaking stigmas.
195,Nicki Minaj,24500000,9386490086,31,Music,2013-04-17,Brazil,Sponsorship,ThE InflUENcE oF tHE NBA iN PoP culTURE!
196,Goldmines Dishoom,24400000,7143695444,2844,Film & Animation,2016-11-10,Italy,Merchandising,VIP aCCeSS To ThE LatESt NBA HighLighTS!
197,David Gue>tta,24300000,15959928823,633,Music,2009-02-15,USA,Membership,sciENCe and TecH foR everyoNe!
198,M;asha y el Oso,24300000,11006209206,840,Film & Animation,2016-08-14,Poland,Crowdfunding,NASA AND AI: ThE FuTURE of spACe exploratION!
199,Aditya Movies,24300000,7908171009,4274,Movies,2012-03-09,Saudi Arabia,Crowdfunding,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
200,Netflix,24300000,5678834326,5650,Entertainment,2012-09-05,Thailand,Sponsorship,sciENCe and TecH foR everyoNe!
201,ZHC|,24300000,2224916696,298,Film & Animation,2013-04-27,Sweden,Sponsorship,fUNnY Memes and REactions!
202,Post Malone,24200000,12492313399,51,Music,2011-08-06,Spain,Membership,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
203,1theK (원더케이),24200000,22605283252,16928,Music,2011-02-28,Australia,Membership,BeHINd ThE ScENEs wiTH  A reAl TV CEO!
204,Amit B.hadana,24100000,2242631303,93,Entertainment,2012-06-25,Saudi Arabia,Super Chat,fUNnY Memes and REactions!
205,Rans Entertainment,24000000,5688277632,3060,People & Blogs,2015-10-20,UAE,Merchandising,hOrrOR stories thAt will sCARE you!
206,Chloe Ti'ng,24000000,2735828023,367,Howto & Style,2011-10-26,Germany,Merchandising,GaMiNG Content fOr everyOne!
207,Sandeep Maheshwari,24000000,1821164544,513,People & Blogs,2012-05-26,UK,Merchandising,TeCH REVIEWS and more!
